Adana,Akdeniz
Adıyaman,Güneydoğu Anadolu
Afyonkarahisar,Ege
Ağrı,Doğu Anadolu
Amasya,Karadeniz
Ankara,İç Anadolu
Antalya,Akdeniz
Artvin,Karadeniz
Aydın,Ege
Balıkesir,Marmara
Bilecik,Marmara
Bingöl,Doğu Anadolu
Bitlis,Doğu Anadolu
Bolu,Karadeniz
Burdur,Akdeniz
Bursa,Marmara
Çanakkale,Marmara
Çankırı,İç Anadolu
Çorum,Karadeniz
Denizli,Ege
Diyarbakır,Güneydoğu Anadolu
Edirne,Marmara
Elazığ,Doğu Anadolu
Erzincan,Doğu Anadolu
Erzurum,Doğu Anadolu
Eskişehir,İç Anadolu
Gaziantep,Güneydoğu Anadolu
Giresun,Karadeniz
Gümüşhane,Karadeniz
Hakkari,Doğu Anadolu
Hatay,Akdeniz
Isparta,Akdeniz
Mersin,Akdeniz
İstanbul,Marmara
İzmir,Ege
Kars,Doğu Anadolu
Kastamonu,Karadeniz
Kayseri,İç Anadolu
Kırklareli,Marmara
Kırşehir,İç Anadolu
Kocaeli,Marmara
Konya,İç Anadolu
Kütahya,Ege
Malatya,Doğu Anadolu
Manisa,Ege
Kahramanmaraş,Akdeniz
Mardin,Güneydoğu Anadolu
Muğla,Ege
Muş,Doğu Anadolu
Nevşehir,İç Anadolu
Niğde,İç Anadolu
Ordu,Karadeniz
Rize,Karadeniz
Sakarya,Marmara
Samsun,Karadeniz
Siirt,Güneydoğu Anadolu
Sinop,Karadeniz
Sivas,İç Anadolu
Tekirdağ,Marmara
Tokat,Karadeniz
Trabzon,Karadeniz
Tunceli,Doğu Anadolu
Şanlıurfa,Güneydoğu Anadolu
Uşak,Ege
Van,Doğu Anadolu
Yozgat,İç Anadolu
Zonguldak,Karadeniz
Aksaray,İç Anadolu
Bayburt,Karadeniz
Karaman,İç Anadolu
Kırıkkale,İç Anadolu
Batman,Güneydoğu Anadolu
Şırnak,Güneydoğu Anadolu
Bartın,Karadeniz
Ardahan,Doğu Anadolu
Iğdır,Doğu Anadolu
Yalova,Marmara
Karabük,Karadeniz
Kilis,Güneydoğu Anadolu
Osmaniye,Akdeniz
Düzce,Karadeniz
